Sample_Time,Sample_Year,Site,PSP,TREE_ID,SPCD,STAT_new,DBH_cm,TLHT_m,CRCL,PREVDBH_cm,PREVTLHT_m,PREVCRCL,STAT,DBH_live,TLHT_live,CRCL_live
3,2005,1021,10062,104900,4,0,10.6172,15.8496,3,10.5156,15.8496,,0,10.6172,15.8496,3
1,1995,1021,10062,104901,4,0,8.4582,10.9728,4,,,,0,8.4582,10.9728,4
1,1995,1021,10062,104902,4,0,11.9888,17.6784,3,,,,0,11.9888,17.6784,3
2,2000,1021,10062,104902,4,0,12.2428,18.5928,3,11.9888,17.6784,,0,12.2428,18.5928,3
3,2005,1021,10062,104902,4,0,12.319,17.6784,2,12.2428,18.5928,,0,12.319,17.6784,2
4,2010,1021,10062,104902,4,0,12.3698,16.4592,2,12.319,17.6784,,0,12.3698,16.4592,2
1,1995,1021,10062,104905,4,0,13.8938,21.6408,2,,,,0,13.8938,21.6408,2
2,2000,1021,10062,104905,4,0,14.6812,21.9456,1,13.8938,21.6408,,0,14.6812,21.9456,1
4,2010,1021,10062,104905,4,0,15.3924,17.6784,2,15.0368,0,,0,15.3924,17.6784,2
1,1995,1021,10062,104908,4,0,14.9606,21.0312,2,,,,0,14.9606,21.0312,2
2,2000,1021,10062,104908,4,0,15.6718,22.2504,2,14.9606,21.0312,,0,15.6718,22.2504,2
3,2005,1021,10062,104908,4,0,16.1036,23.1648,2,15.6718,22.2504,,0,16.1036,23.1648,2
4,2010,1021,10062,104908,4,0,16.5862,23.4696,2,16.1036,23.1648,,0,16.5862,23.4696,2
1,1995,1021,10062,104909,4,0,10.3632,12.192,3,,,,0,10.3632,12.192,3
3,2005,1021,10062,104909,4,0,10.4902,12.8016,3,10.4902,0,,0,10.4902,12.8016,3
1,1995,1021,10062,104910,4,0,14.478,20.7264,2,,,,0,14.478,20.7264,2
2,2000,1021,10062,104910,4,0,15.8496,22.2504,2,14.478,20.7264,,0,15.8496,22.2504,2
3,2005,1021,10062,104910,4,0,16.3068,20.7264,2,15.8496,22.2504,,0,16.3068,20.7264,2
4,2010,1021,10062,104910,4,0,17.2466,21.336,2,16.3068,20.7264,,0,17.2466,21.336,2
1,1995,1021,10062,104912,4,0,11.2522,12.8016,3,,,,0,11.2522,12.8016,3
2,2000,1021,10062,104912,4,0,11.43,13.716,3,11.2522,12.8016,,0,11.43,13.716,3
1,1995,1021,10062,104913,4,0,15.3162,19.2024,2,,,,0,15.3162,19.2024,2
2,2000,1021,10062,104913,4,0,16.0528,20.4216,2,15.3162,19.2024,,0,16.0528,20.4216,2
3,2005,1021,10062,104913,4,0,16.4592,20.4216,2,16.0528,20.4216,,0,16.4592,20.4216,2
4,2010,1021,10062,104913,4,0,16.891,20.7264,2,16.4592,20.4216,,0,16.891,20.7264,2
1,1995,1021,10062,104914,4,0,12.7508,16.764,3,,,,0,12.7508,16.764,3
2,2000,1021,10062,104914,4,0,13.0556,17.9832,3,12.7508,16.764,,0,13.0556,17.9832,3
3,2005,1021,10062,104914,4,0,13.2588,17.9832,3,13.0556,17.9832,,0,13.2588,17.9832,3
4,2010,1021,10062,104914,4,0,13.2842,17.9832,2,13.2588,17.9832,,0,13.2842,17.9832,2
1,1995,1021,10062,104915,4,0,8.5344,13.1064,4,,,,0,8.5344,13.1064,4
1,1995,1021,10062,104916,4,0,12.7,16.764,3,,,,0,12.7,16.764,3
2,2000,1021,10062,104916,4,0,13.1572,17.6784,3,12.7,16.764,,0,13.1572,17.6784,3
4,2010,1021,10062,104916,4,0,13.3604,19.5072,2,13.3096,0,,0,13.3604,19.5072,2
1,1995,1021,10062,104917,4,0,16.1798,17.3736,2,,,,0,16.1798,17.3736,2
2,2000,1021,10062,104917,4,0,16.764,18.5928,1,16.1798,17.3736,,0,16.764,18.5928,1
