site,psp,year,ndvi.max
1032,10096,2017,0.751827784
1032,10096,2018,0.754184061
1033,10097,1995,0.816226954
1033,10097,1996,0.746399659
1033,10097,1997,0.606046616
1033,10097,1998,0.723358515
1033,10097,1999,0.706896163
1033,10097,2000,0.77544976
1033,10097,2001,0.755959292
1033,10097,2002,0.727058943
1033,10097,2003,0.701636729
1033,10097,2004,0.729671279
1033,10097,2005,0.68787951
1033,10097,2006,0.708645711
1033,10097,2007,0.708916014
1033,10097,2008,0.707610133
1033,10097,2009,0.687222225
1033,10097,2010,0.719504024
1033,10097,2011,0.718402646
1033,10097,2012,0.750644045
1033,10097,2013,0.742130229
1033,10097,2014,0.7208141
1033,10097,2015,0.70527393
1033,10097,2016,0.713235096
1033,10097,2017,0.711995635
1033,10097,2018,0.694533099
1033,10098,1995,0.821307672
1033,10098,1996,0.753130238
1033,10098,1997,0.65389237
1033,10098,1998,0.713247397
1033,10098,1999,0.728530029
1033,10098,2000,0.769959078
1033,10098,2001,0.771033619
1033,10098,2002,0.703564146
1033,10098,2003,0.694408081
1033,10098,2004,0.725085766
1033,10098,2005,0.708879465
1033,10098,2006,0.700370363
1033,10098,2007,0.720354016
1033,10098,2008,0.688868867
1033,10098,2009,0.68603208
1033,10098,2010,0.721807653
1033,10098,2011,0.718659717
1033,10098,2012,0.780607178
1033,10098,2013,0.741445586
1033,10098,2014,0.725679846
1033,10098,2015,0.712299806
1033,10098,2016,0.720980227
1033,10098,2017,0.719505636
1033,10098,2018,0.713369309
1033,10099,1995,0.808628821
1033,10099,1996,0.746372972
1033,10099,1997,0.643455382
1033,10099,1998,0.735178719
1033,10099,1999,0.718934247
1033,10099,2000,0.765979611
1033,10099,2001,0.782166098
1033,10099,2002,0.737740377
1033,10099,2003,0.693449915
1033,10099,2004,0.722753354
1033,10099,2005,0.68499698
1033,10099,2006,0.713560304
1033,10099,2007,0.723983226
1033,10099,2008,0.701525137
1033,10099,2009,0.701341031
1033,10099,2010,0.717371464
1033,10099,2011,0.717463489
1033,10099,2012,0.750598827
1033,10099,2013,0.725576339
1033,10099,2014,0.70090461
1033,10099,2015,0.698209719
1033,10099,2016,0.71216605
1033,10099,2017,0.709535538
1033,10099,2018,0.698459364
1067,10199,1986,0.812555406
1067,10199,1987,0.820429391
1067,10199,1994,0.779716111
1067,10199,1995,0.817608819
1067,10199,1996,0.764491545
1067,10199,1997,0.801717748
1067,10199,1999,0.800666981
1067,10199,2000,0.76887142
1067,10199,2001,0.789356175
1067,10199,2002,0.835313415
1067,10199,2003,0.796940754
1067,10199,2004,0.76556433
1067,10199,2005,0.707597578
1067,10199,2006,0.727834216
1067,10199,2007,0.731937989
1067,10199,2008,0.708184384
1067,10199,2009,0.711228017
1067,10199,2010,0.737368046
1067,10199,2011,0.705532732
1067,10199,2012,0.713352268
1067,10199,2013,0.718797124
1067,10199,2014,0.729119655
1067,10199,2015,0.697888325
1067,10199,2016,0.708845871
1067,10199,2017,0.729345133
1067,10199,2018,0.712510425
1067,10200,1986,0.811631318
1067,10200,1987,0.820005603
1067,10200,1994,0.786073973
1067,10200,1995,0.830324123
1067,10200,1996,0.778316232
1067,10200,1997,0.766448119
1067,10200,1999,0.80380788
1067,10200,2000,0.79083829
1067,10200,2001,0.799611429
1067,10200,2002,0.825075321
1067,10200,2003,0.78697989
1067,10200,2004,0.784872672
1067,10200,2005,0.712333966
1067,10200,2006,0.717663567
1067,10200,2007,0.710532873
1067,10200,2008,0.683998724
1067,10200,2009,0.702153775
1067,10200,2010,0.745353584
1067,10200,2011,0.694531721
1067,10200,2012,0.706065308
1067,10200,2013,0.720893584
1067,10200,2014,0.726174114
1067,10200,2015,0.708745194
1067,10200,2016,0.710567906
1067,10200,2017,0.726491413
1067,10200,2018,0.717515551
1067,10201,1986,0.80800516
